p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0.00216	6	6	6	6	0	0.901806	1	0.969167	1
0.00218	6	6	6	6	0	0.895972	1	0.9675	1
0.0022	6	6	6	6	0	0.898056	1	0.970139	1
0.00222	6	6	6	6	0	0.891389	1	0.96625	1
0.00224	6	6	6	6	0	0.895972	1	0.9675	1
0.00226	6	6	6	6	0	0.888611	1	0.966528	1
0.00228	6	6	6	6	0	0.894444	1	0.966111	1
0.0023	6	6	6	6	0	0.893472	1	0.964583	1
0.00232	6	6	6	6	0	0.899722	1	0.968472	1
0.00234	6	6	6	6	0	0.89125	1	0.966111	1
0.00236	6	6	6	6	0	0.889722	1	0.963472	1
0.00238	6	6	6	6	0	0.883333	1	0.964583	1
0.0024	6	6	6	6	0	0.891389	1	0.964306	1
0.00242	6	6	6	6	0	0.895556	1	0.965556	1
0.00244	6	6	6	6	0	0.888472	1	0.962639	1
0.00246	6	6	6	6	0	0.883333	1	0.964167	1
0.00248	6	6	6	6	0	0.889583	1	0.965833	1
0.0025	6	6	6	6	0	0.883472	1	0.966667	1
0.00252	6	6	6	6	0	0.887361	1	0.964306	1
0.00254	6	6	6	6	0	0.883472	1	0.964722	1
0.00256	6	6	6	6	0	0.889444	1	0.964722	1
0.00258	6	6	6	6	0	0.8825	1	0.96125	1
0.0026	6	6	6	6	0	0.879861	1	0.961944	0.999998
0.00262	6	6	6	6	0	0.877222	1	0.963472	1
0.00264	6	6	6	6	0	0.885694	1	0.965417	1
0.00266	6	6	6	6	0	0.884306	1	0.961528	1
0.00268	6	6	6	6	0	0.881111	1	0.960833	1
0.0027	6	6	6	6	0	0.877361	1	0.962917	1
0.00272	6	6	6	6	0	0.875139	1	0.960417	1
0.00274	6	6	6	6	0	0.876111	1	0.962222	1
0.00276	6	6	6	6	0	0.868194	1	0.958333	1
0.00278	6	6	6	6	0	0.880833	1	0.96375	1
0.0028	6	6	6	6	0	0.878194	1	0.96	1
0.00282	6	6	6	6	0	0.868472	1	0.957083	1
0.00284	6	6	6	6	0	0.864861	1	0.957639	1
0.00286	6	6	6	6	0	0.873472	1	0.959861	1
0.00288	6	6	6	6	0	0.865417	1	0.958056	1
0.0029	6	6	6	6	0	0.866389	1	0.955972	1
0.00292	6	6	6	6	0	0.869306	1	0.958333	1
0.00294	6	6	6	6	0	0.867639	1	0.957083	1
0.00296	6	6	6	6	0	0.865	1	0.957778	1
0.00298	6	6	6	6	0	0.863889	1	0.959583	1
0.003	6	6	6	6	0	0.866944	1	0.957083	1
0.00302	6	6	6	6	0	0.857917	1	0.9575	1
0.00304	6	6	6	6	0	0.860139	1	0.956528	1
0.00306	6	6	6	6	0	0.859167	1	0.955	1
0.00308	6	6	6	6	0	0.859583	1	0.958611	1
0.0031	6	6	6	6	0	0.856528	1	0.954861	1
0.00312	6	6	6	6	0	0.861111	1	0.959722	1
0.00314	6	6	6	6	0	0.863194	1	0.957639	1
0.00316	6	6	6	6	0	0.856667	1	0.958611	1
0.00318	6	6	6	6	0	0.862361	1	0.958194	1
0.0032	6	6	6	6	0	0.8575	1	0.953889	1
0.00322	6	6	6	6	0	0.854583	1	0.95375	1
0.00324	6	6	6	6	0	0.850972	1	0.950278	1
0.00326	6	6	6	6	0	0.849444	1	0.955694	1
0.00328	6	6	6	6	0	0.847778	1	0.952083	1
0.0033	6	6	6	6	0	0.850694	1	0.956389	1
0.00332	6	6	6	6	0	0.851111	1	0.955278	1
0.00334	6	6	6	6	0	0.851944	1	0.954306	1
0.00336	6	6	6	6	0	0.847361	1	0.953472	1
0.00338	6	6	6	6	0	0.845694	1	0.953472	1
0.0034	6	6	6	6	0	0.846944	1	0.951806	1
0.00342	6	6	6	6	0	0.843194	1	0.951389	1
0.00344	6	6	6	6	0	0.847917	1	0.953611	1
0.00346	6	6	6	6	0	0.841944	1	0.95375	1
0.00348	6	6	6	6	0	0.840278	1	0.951389	1
0.0035	6	6	6	6	0	0.843611	1	0.954444	1
0.00352	6	6	6	6	0	0.839583	1	0.952361	1
0.00354	6	6	6	6	0	0.839722	1	0.949583	1
0.00356	6	6	6	6	0	0.838889	1	0.9525	1
0.00358	6	6	6	6	0	0.835833	1	0.949444	1
0.0036	6	6	6	6	0	0.842917	1	0.950972	1
0.00362	6	6	6	6	0	0.839583	1	0.950278	1
0.00364	6	6	6	6	0	0.835139	1	0.94375	1
0.00366	6	6	6	6	0	0.836806	1	0.948333	1
0.00368	6	6	6	6	0	0.836528	1	0.953056	1
0.0037	6	6	6	6	0	0.835417	1	0.946944	1
0.00372	6	6	6	6	0	0.830694	1	0.947639	1
0.00374	6	6	6	6	0	0.841111	1	0.953611	1
0.00376	6	6	6	6	0	0.830278	1	0.94375	1
0.00378	6	6	6	6	0	0.835833	1	0.951111	1
0.0038	6	6	6	6	0	0.833194	1	0.95125	1
0.00382	6	6	6	6	0	0.823611	1	0.944722	1
0.00384	6	6	6	6	0	0.825694	1	0.945417	1
0.00386	6	6	6	6	0	0.838194	1	0.95375	1
0.00388	6	6	6	6	0	0.824167	1	0.948889	1
0.0039	6	6	6	6	0	0.829583	1	0.943056	1
0.00392	6	6	6	6	0	0.823472	1	0.947083	1
0.00394	6	6	6	6	0	0.825139	1	0.948472	1
0.00396	6	6	6	6	0	0.820417	1	0.947222	1
0.00398	6	6	6	6	0	0.835417	1	0.948056	1
0.004	6	6	6	6	0	0.823194	1	0.949167	1
0.00402	6	6	6	6	0	0.821111	1	0.945694	1
0.00404	6	6	6	6	0	0.815833	1	0.941667	1
0.00406	6	6	6	6	0	0.819583	1	0.945833	1
0.00408	6	6	6	6	0	0.811944	1	0.942639	1
0.0041	6	6	6	6	0	0.824583	1	0.949444	1
0.00412	6	6	6	6	0	0.815833	0.999999	0.941806	1
0.00414	6	6	6	6	0	0.815694	1	0.942778	1
0.00416	6	6	6	6	0	0.826806	1	0.944167	1
0.00418	6	6	6	6	0	0.812083	1	0.94	1
0.0042	6	6	6	6	0	0.813333	1	0.944722	1
0.00422	6	6	6	6	0	0.817361	1	0.942778	1
0.00424	6	6	6	6	0	0.818889	1	0.941528	1
0.00426	6	6	6	6	0	0.803333	1	0.94	1
0.00428	6	6	6	6	0	0.819167	1	0.945972	1
0.0043	6	6	6	6	0	0.814861	1	0.945694	1
0.00432	6	6	6	6	0	0.814167	1	0.941944	1
0.00434	6	6	6	6	0	0.811806	1	0.944583	1
0.00436	6	6	6	6	0	0.813611	1	0.940833	1
0.00438	6	6	6	6	0	0.81	1	0.944444	1
0.0044	6	6	6	6	0	0.801389	1	0.943194	1
0.00442	6	6	6	6	0	0.804444	1	0.9425	1
0.00444	6	6	6	6	0	0.804306	1	0.94	1
0.00446	6	6	6	6	0	0.798472	1	0.940833	1
0.00448	6	6	6	6	0	0.807917	1	0.944861	1
0.0045	6	6	6	6	0	0.802917	0.999995	0.944028	1
0.00452	6	6	6	6	0	0.806111	1	0.938472	1
0.00454	6	6	6	6	0	0.799583	0.999949	0.935556	1
0.00456	6	6	6	6	0	0.804306	1	0.942083	1
0.00458	6	6	6	6	0	0.804861	1	0.9375	1
0.0046	6	6	6	6	0	0.798056	1	0.9425	1
0.00462	6	6	6	6	0	0.790139	1	0.937083	1
0.00464	6	6	6	6	0	0.79875	0.999886	0.941667	1
0.00466	6	6	6	6	0	0.802083	1	0.935278	1
0.00468	6	6	6	6	0	0.800139	1	0.936667	1
0.0047	6	6	6	6	0	0.793889	1	0.934583	1
0.00472	6	6	6	6	0	0.797778	1	0.937083	1
0.00474	6	6	6	6	0	0.791667	0.999835	0.936667	1
0.00476	6	6	6	6	0	0.790833	0.999969	0.935278	1
0.00478	6	6	6	6	0	0.791944	1	0.938472	1
0.0048	6	6	6	6	0	0.785833	0.999886	0.932917	1
0.00482	6	6	6	6	0	0.792083	1	0.934722	1
0.00484	6	6	6	6	0	0.798472	1	0.940417	1
0.00486	6	6	6	6	0	0.789167	1	0.937222	1
0.00488	6	6	6	6	0	0.794028	1	0.93875	1
0.0049	6	6	6	6	0	0.784861	1	0.931528	1
0.00492	6	6	6	6	0	0.780556	1	0.930694	1
0.00494	6	6	6	6	0	0.780556	0.999929	0.935417	1
0.00496	6	6	6	6	0	0.78875	1	0.937083	1
0.00498	6	6	6	6	0	0.784722	1	0.935417	1
0.005	6	6	6	6	0	0.779722	1	0.935833	1
0.00502	6	6	6	6	0	0.781944	1	0.936111	1
0.00504	6	6	6	6	0	0.784722	1	0.9375	1
0.00506	6	6	6	6	0	0.792361	1	0.937639	1
0.00508	6	6	6	6	0	0.784583	1	0.934306	1
0.0051	6	6	6	6	0	0.784167	0.999993	0.933889	1
0.00512	6	6	6	6	0	0.774306	0.999943	0.932639	1
0.00514	6	6	6	6	0	0.782917	1	0.932222	1
0.00516	6	6	6	6	0	0.770556	0.999892	0.931111	1
0.00518	6	6	6	6	0	0.770694	1	0.928333	1
0.0052	6	6	6	6	0	0.780972	0.99994	0.928333	1
0.00522	6	6	6	6	0	0.780556	0.99994	0.929583	1
0.00524	6	6	6	6	0	0.775833	1	0.930556	1
0.00526	6	6	6	6	0	0.774861	1	0.936111	1
0.00528	6	6	6	6	0	0.774444	1	0.931528	1
0.0053	6	6	6	6	0	0.770694	1	0.933611	1
0.00532	6	6	6	6	0	0.77625	0.999961	0.934028	1
0.00534	6	6	6	6	0	0.77	0.999839	0.933333	1
0.00536	6	6	6	6	0	0.781806	0.999996	0.934167	1
0.00538	6	6	6	6	0	0.778889	1	0.933056	1
0.0054	6	6	6	6	0	0.766528	0.999971	0.927639	1
0.00542	6	6	6	6	0	0.770694	0.999969	0.932778	0.999999
0.00544	6	6	6	6	0	0.768333	0.999985	0.931806	1
0.00546	6	6	6	6	0	0.764306	0.999943	0.932361	1
0.00548	6	6	6	6	0	0.771389	0.999999	0.930417	1
0.0055	6	6	6	6	0	0.758056	1	0.927639	1
0.00552	6	6	6	6	0	0.765833	0.999957	0.929722	1
0.00554	6	6	6	6	0	0.768333	0.999982	0.931389	1
0.00556	6	6	6	6	0	0.764444	0.999926	0.927778	1
0.00558	6	6	6	6	0	0.759722	0.999975	0.931528	1
0.0056	6	6	6	6	0	0.760694	1	0.927778	1
0.00562	6	6	6	6	0	0.755833	0.999965	0.929167	1
0.00564	6	6	6	6	0	0.760972	0.999963	0.926389	1
0.00566	6	6	6	6	0	0.77375	0.999874	0.930833	1
0.00568	6	6	6	6	0	0.75625	1	0.925417	1
0.0057	6	6	6	6	0	0.756806	1	0.926667	1
0.00572	6	6	6	6	0	0.758611	0.999959	0.927778	1
0.00574	6	6	6	6	0	0.754583	0.999987	0.926667	1
0.00576	6	6	6	6	0	0.745694	0.999891	0.923611	1
0.00578	6	6	6	6	0	0.75625	0.999999	0.930556	1
0.0058	6	6	6	6	0	0.750833	0.999955	0.919167	1
0.00582	6	6	6	6	0	0.747917	0.999976	0.925833	1
0.00584	6	6	6	6	0	0.749861	0.999812	0.924861	1
0.00586	6	6	6	6	0	0.754861	1	0.927222	1
0.00588	6	6	6	6	0	0.742778	0.999898	0.921667	1
0.0059	6	6	6	6	0	0.740556	0.999972	0.921944	1
0.00592	6	6	6	6	0	0.749028	0.999977	0.9275	1
0.00594	6	6	6	6	0	0.748333	0.999872	0.927222	1
0.00596	6	6	6	6	0	0.746944	1	0.927361	1
0.00598	6	6	6	6	0	0.756667	0.999946	0.919167	1
0.006	6	6	6	6	0	0.754861	0.999996	0.924306	1
0.00602	6	6	6	6	0	0.749444	0.999984	0.9225	1
0.00604	6	6	6	6	0	0.745556	0.999971	0.922639	1
0.00606	6	6	6	6	0	0.753472	0.999987	0.926389	1
0.00608	6	6	6	6	0	0.743472	0.999965	0.923889	1
0.0061	6	6	6	6	0	0.742083	0.999957	0.928333	1
0.00612	6	6	6	6	0	0.733472	0.999974	0.923472	1
0.00614	6	6	6	6	0	0.739722	0.999955	0.919583	1
0.00616	6	6	6	6	0	0.744583	0.999902	0.921389	1
0.00618	6	6	6	6	0	0.737917	0.999897	0.921944	1
0.0062	6	6	6	6	0	0.738056	0.999983	0.917917	1
0.00622	6	6	6	6	0	0.7375	0.999887	0.921528	1
0.00624	6	6	6	6	0	0.736806	0.999971	0.922222	1
0.00626	6	6	6	6	0	0.735556	0.999847	0.925556	1
0.00628	6	6	6	6	0	0.735417	0.999963	0.923333	1
0.0063	6	6	6	6	0	0.737361	0.99994	0.920556	1
0.00632	6	6	6	6	0	0.738611	0.999876	0.921667	1
0.00634	6	6	6	6	0	0.737639	0.999955	0.921528	1
0.00636	6	6	6	6	0	0.735833	0.99999	0.917917	1
0.00638	6	6	6	6	0	0.725278	0.999973	0.914722	1
0.0064	6	6	6	6	0	0.726806	0.999882	0.917083	1
0.00642	6	6	6	6	0	0.741528	1	0.92	1
0.00644	6	6	6	6	0	0.727083	0.999961	0.918333	1
0.00646	6	6	6	6	0	0.720694	0.999853	0.910278	1
0.00648	6	6	6	6	0	0.735278	0.999471	0.922778	1
0.0065	6	6	6	6	0	0.730139	0.999842	0.920417	1
