p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0.06996	14	140	129.982	140	28.7253	0.14125	1.50203e-09	0.999861	1
0.06998	14	140	130.037	140	29.1953	0.135972	1.06326e-09	1	1
0.07	14	140	130.165	140	28.7695	0.133611	1.13804e-08	0.999167	1
0.07002	14	140	130.412	140	28.3488	0.13125	1.19981e-10	1	1
0.07004	14	140	131.059	140	27.3755	0.129028	4.44529e-08	0.999444	1
0.07006	14	140	130.735	140	27.4787	0.132639	3.6436e-09	0.999722	1
0.07008	14	140	130.511	140	28.1466	0.1325	1.80032e-08	0.999583	1
0.0701	14	140	130.235	140	28.7773	0.134028	3.99947e-09	0.999583	1
0.07012	14	140	130.709	140	27.8818	0.13	1.19345e-09	1	1
0.07014	14	140	130.888	140	27.5562	0.129028	1.31631e-09	0.999722	1
0.07016	14	140	129.654	140	29.6152	0.139167	7.45635e-08	0.999861	1
0.07018	14	140	130.472	140	28.1934	0.133472	3.14855e-08	0.999306	1
0.0702	14	140	130.507	140	28.0183	0.132639	2.46821e-09	0.999861	1
0.07022	14	140	130.142	140	29.1059	0.132778	1.50446e-09	0.999861	1
0.07024	14	140	130.752	140	28.0497	0.127083	1.73147e-09	0.999861	1
0.07026	14	140	130.706	140	27.8071	0.128472	4.37246e-09	1	1
0.07028	14	140	130.122	140	28.8871	0.135	4.63698e-09	0.999722	1
0.0703	14	140	131.019	140	27.3148	0.126806	1.01015e-08	0.999861	1
0.07032	14	140	130.531	140	28.0757	0.132639	1.53561e-09	0.999861	1
0.07034	14	140	130.447	140	28.2933	0.133889	5.87773e-09	0.999861	1
0.07036	14	140	130.536	140	28.3551	0.130694	5.17072e-09	1	1
0.07038	14	140	130.694	140	28.0693	0.129861	2.88342e-09	0.999861	1
0.0704	14	140	130.921	140	27.5824	0.12625	2.76053e-10	0.999583	1
0.07042	14	140	130.501	140	28.251	0.133472	1.86561e-09	0.999861	1
0.07044	14	140	130.256	140	28.8445	0.131111	3.76405e-09	0.999861	1
0.07046	14	140	130.785	140	28.0562	0.125	1.13541e-08	0.999861	1
0.07048	14	140	130.521	140	28.1243	0.134861	1.33541e-10	0.999722	1
0.0705	14	140	130.925	140	27.4788	0.129444	1.02627e-08	0.999861	1
0.07052	14	140	131.026	140	27.5763	0.1275	5.84285e-09	0.999861	1
0.07054	14	140	131.094	140	27.2334	0.126389	1.98878e-10	0.999861	1
0.07056	14	140	130.844	140	27.6543	0.128194	3.05516e-08	0.999861	1
0.07058	14	140	130.76	140	27.8595	0.127222	1.45598e-09	0.999722	1
0.0706	14	140	130.82	140	27.7478	0.127083	5.2644e-09	1	1
0.07062	14	140	130.064	140	29.0344	0.136111	2.42654e-08	1	1
0.07064	14	140	131.046	140	27.5796	0.121944	1.61388e-10	0.999583	1
0.07066	14	140	130.7	140	27.8516	0.13125	2.40348e-09	0.999583	1
0.07068	14	140	130.258	140	28.7682	0.1325	1.09258e-08	0.999861	1
0.0707	14	140	130.661	140	28.1827	0.128611	5.57083e-09	0.999861	1
0.07072	14	140	130.579	140	28.2279	0.130139	6.31319e-10	0.999861	1
0.07074	14	140	130.746	140	27.8975	0.127083	1.04042e-08	0.999861	1
0.07076	14	140	131.172	140	27.2487	0.123194	1.13497e-08	0.999583	1
0.07078	14	140	131.273	140	27.1903	0.123194	7.38416e-10	0.999722	1
0.0708	14	140	130.647	140	27.8169	0.131389	3.54008e-09	0.999861	1
0.07082	14	140	130.822	140	27.6988	0.128056	3.22113e-08	0.999583	1
0.07084	14	140	130.439	140	28.4193	0.131944	1.19757e-08	1	1
0.07086	14	140	131.256	140	27.2192	0.119861	1.59579e-09	0.999861	1
0.07088	14	140	130.729	140	28.1583	0.125694	3.20501e-10	1	1
0.0709	14	140	130.888	140	27.3957	0.130139	1.29978e-08	1	1
0.07092	14	140	130.402	140	28.3258	0.133472	6.05496e-09	0.999861	1
0.07094	14	140	131.023	140	27.646	0.123333	5.35142e-09	0.999861	1
0.07096	14	140	130.976	140	27.735	0.123611	4.94045e-10	0.999583	1
0.07098	14	140	131.104	140	27.5294	0.124306	1.73363e-08	0.999722	1
0.071	14	140	131.312	140	27.0643	0.121667	2.12995e-09	1	1
0.07102	14	140	131.433	140	27.1188	0.119722	1.62592e-08	0.999444	1
0.07104	14	140	130.826	140	27.935	0.125	6.50372e-09	0.999722	1
0.07106	14	140	131.18	140	26.8923	0.127778	3.50145e-09	0.999722	1
0.07108	14	140	131.03	140	27.2458	0.125417	7.37541e-09	1	1
0.0711	14	140	131.131	140	27.4649	0.122778	2.45179e-08	1	1
0.07112	14	140	131.19	140	27.3098	0.120556	3.43623e-10	0.999306	1
0.07114	14	140	131.654	140	26.5885	0.115278	9.4591e-10	0.999444	1
0.07116	14	140	130.795	140	28.0648	0.126528	3.96636e-09	0.999861	1
0.07118	14	140	130.842	140	27.8611	0.124861	2.9084e-09	0.999861	1
0.0712	14	140	131.555	140	26.5986	0.119722	4.4453e-10	0.999722	1
0.07122	14	140	131.131	140	27.0253	0.126528	1.33601e-08	0.999722	1
0.07124	14	140	131.007	140	27.4363	0.12625	8.37846e-09	1	1
0.07126	14	140	130.871	140	28.0328	0.124722	1.67721e-08	0.999861	1
0.07128	14	140	131.065	140	27.6884	0.121667	1.25041e-08	0.999583	1
0.0713	14	140	131.009	140	27.8969	0.122361	3.67772e-09	0.999861	1
0.07132	14	140	131.462	140	26.6823	0.1225	5.92032e-11	0.999722	1
0.07134	14	140	131.555	140	26.6569	0.12125	2.02592e-09	0.999861	1
0.07136	14	140	130.731	140	28.171	0.12625	8.29783e-10	0.999583	1
0.07138	14	140	131.264	140	27.4141	0.119583	6.7825e-10	1	1
0.0714	14	140	131.118	140	27.462	0.123056	3.49456e-09	0.999306	1
0.07142	14	140	131.474	140	26.796	0.121528	7.27522e-09	0.999861	1
0.07144	14	140	130.573	140	28.2168	0.130556	6.52931e-09	0.999722	1
0.07146	14	140	131.511	140	27.0045	0.117083	1.39956e-10	0.999583	1
0.07148	14	140	131.565	140	26.8081	0.11625	2.57725e-11	1	1
0.0715	14	140	131.693	140	26.4519	0.116806	1.16127e-10	0.999583	1
0.07152	14	140	131.896	140	25.7467	0.119167	1.6699e-09	0.999722	1
0.07154	14	140	130.896	140	27.7938	0.126944	3.26411e-09	1	1
0.07156	14	140	131.211	140	27.3162	0.125139	6.62203e-09	1	1
0.07158	14	140	131.056	140	27.5734	0.124444	2.27462e-10	0.999861	1
0.0716	14	140	131.775	140	26.3061	0.114583	4.69907e-10	0.999861	1
0.07162	14	140	131.46	140	26.8196	0.120139	9.1668e-14	1	1
0.07164	14	140	131.238	140	27.2731	0.120417	1.12019e-09	0.999583	1
0.07166	14	140	131.371	140	26.9712	0.123056	2.05105e-10	0.999861	1
0.07168	14	140	131.089	140	27.241	0.124583	3.18365e-08	0.999444	1
0.0717	14	140	131.192	140	27.19	0.123194	4.51092e-09	0.999583	1
0.07172	14	140	131.182	140	27.3889	0.12375	2.12021e-08	0.999722	1
0.07174	14	140	131.691	140	26.2534	0.12	2.52287e-09	0.999583	1
0.07176	14	140	130.799	140	28.0029	0.124861	8.53266e-09	0.999722	1
0.07178	14	140	131.17	140	27.3712	0.125	3.29098e-08	0.999722	1
0.0718	14	140	130.696	140	27.9869	0.127778	7.35457e-11	0.999444	1
0.07182	14	140	131.258	140	27.086	0.121389	7.82558e-08	0.999583	1
0.07184	14	140	131.172	140	27.1637	0.122083	3.25189e-11	1	1
0.07186	14	140	131.04	140	27.6058	0.123889	3.29014e-09	0.999306	1
0.07188	14	140	131.312	140	27.2418	0.120694	1.55104e-09	1	1
0.0719	14	140	131.371	140	27.1663	0.119167	8.9153e-10	1	1
0.07192	14	140	131.614	140	26.3054	0.119722	1.73333e-09	0.999722	1
0.07194	14	140	131.308	140	27.043	0.121528	2.92846e-09	0.999722	1
0.07196	14	140	131.017	140	27.5608	0.124861	7.22033e-10	0.999722	1
0.07198	14	140	131.505	140	26.8951	0.119583	1.45793e-08	1	1
0.072	14	140	131.645	140	26.6412	0.116111	1.46227e-09	0.999861	1
0.07202	14	140	131.756	140	26.3362	0.117083	6.54108e-09	0.999722	1
0.07204	14	140	131.303	140	27.4819	0.117361	3.76231e-09	0.999722	1
0.07206	14	140	131.481	140	26.838	0.119583	7.49317e-09	0.999861	1
0.07208	14	140	131.223	140	27.0375	0.123889	1.88897e-09	0.999861	1
0.0721	14	140	131.847	140	26.5135	0.112639	8.2603e-10	0.999583	1
0.07212	14	140	132.199	140	25.6966	0.109861	2.64447e-12	1	1
0.07214	14	140	131.407	140	26.8692	0.119722	3.49947e-10	0.999722	1
0.07216	14	140	131.361	140	26.7038	0.126806	1.71324e-09	0.999583	1
0.07218	14	140	131.649	140	26.5185	0.118194	6.43054e-08	0.999861	1
0.0722	14	140	131.794	140	26.4474	0.114861	2.67774e-11	0.999861	1
0.07222	14	140	131.277	140	27.1194	0.124444	5.62452e-09	0.999722	1
0.07224	14	140	131.279	140	27.2737	0.120139	1.87618e-08	1	1
0.07226	14	140	131.861	140	26.3007	0.116111	5.22214e-11	0.999861	1
0.07228	14	140	131.565	140	26.6401	0.117361	4.8287e-10	0.999861	1
0.0723	14	140	131.238	140	27.4809	0.118889	5.2699e-10	0.999583	1
0.07232	14	140	131.674	140	26.769	0.116667	4.37441e-08	1	1
0.07234	14	140	130.908	140	27.8964	0.125278	3.90639e-09	0.999861	1
0.07236	14	140	131.849	140	26.388	0.114028	6.76833e-10	0.999861	1
0.07238	14	140	132.15	140	25.6346	0.113333	1.00143e-09	0.999722	1
0.0724	14	140	131.555	140	26.7507	0.115139	1.3206e-08	0.999722	1
0.07242	14	140	131.736	140	26.2608	0.119722	1.13113e-10	0.999444	1
0.07244	14	140	131.775	140	26.4887	0.115	1.30824e-09	0.999861	1
0.07246	14	140	131.608	140	26.6464	0.118611	1.92999e-11	0.999861	1
0.07248	14	140	131.402	140	26.97	0.120556	8.36098e-10	0.999583	1
0.0725	14	140	131.913	140	26.0387	0.115556	1.22966e-09	0.999583	1
0.07252	14	140	131.623	140	26.8132	0.114861	1.03481e-09	1	1
0.07254	14	140	131.806	140	26.4489	0.11375	7.46896e-11	0.999861	1
0.07256	14	140	131.857	140	26.3945	0.11125	4.07737e-09	1	1
0.07258	14	140	131.678	140	26.7346	0.117083	3.60404e-09	0.999861	1
0.0726	14	140	131.87	140	26.111	0.116667	1.7823e-09	0.999444	1
0.07262	14	140	132.362	140	25.4574	0.110417	2.14669e-10	0.999583	1
0.07264	14	140	132.082	140	25.6651	0.111528	4.08519e-10	0.999722	1
0.07266	14	140	131.804	140	26.2515	0.117778	3.48345e-12	1	1
0.07268	14	140	131.493	140	26.942	0.117917	1.05651e-08	0.999722	1
0.0727	14	140	131.583	140	26.8091	0.115139	8.64121e-09	0.999722	1
0.07272	14	140	131.833	140	26.0426	0.113889	3.70657e-09	1	1
0.07274	14	140	131.987	140	26.2675	0.11125	3.20018e-10	0.999722	1
0.07276	14	140	131.89	140	26.2294	0.11375	1.29057e-10	0.999583	1
0.07278	14	140	131.503	140	26.6356	0.121528	5.03529e-09	0.999444	1
0.0728	14	140	131.314	140	27.3715	0.119583	2.44109e-09	0.999861	1
0.07282	14	140	131.822	140	26.3227	0.115972	5.54717e-10	0.999722	1
0.07284	14	140	132.146	140	25.644	0.110556	5.38975e-09	0.999722	1
0.07286	14	140	131.279	140	27.2956	0.120556	3.83579e-08	0.999861	1
0.07288	14	140	132.174	140	25.9404	0.1075	5.17672e-11	0.999583	1
0.0729	14	140	131.94	140	25.9571	0.112222	5.20617e-11	1	1
0.07292	14	140	131.565	140	26.5674	0.117639	4.10148e-11	0.999722	1
0.07294	14	140	131.583	140	26.4626	0.119306	6.28468e-12	1	1
0.07296	14	140	131.915	140	26.3784	0.112083	1.06289e-08	0.999861	1
0.07298	14	140	131.95	140	26.0423	0.113889	6.78872e-12	0.999722	1
0.073	14	140	132.078	140	25.7455	0.112222	2.94948e-10	0.999861	1
0.07302	14	140	132.049	140	26.0712	0.110556	3.58331e-08	0.999583	1
