p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0.16738	14	140	139.944	140	2.05335	0.000972222	1.32231e-10	0.999861	1
0.1674	14	140	139.942	140	2.18808	0.000833333	1.09396e-10	0.999861	1
0.16742	14	140	139.942	140	2.45763	0.000694444	1.03204e-07	1	1
0.16744	14	140	139.909	140	2.96385	0.00125	4.14287e-10	1	1
0.16746	42	140	139.922	140	2.47915	0.000833333	1.30164e-10	0.999861	1
0.16748	14	140	139.955	140	2.06685	0.000555556	1.0944e-07	1	1
0.1675	14	140	139.907	140	2.77892	0.00125	2.05559e-10	0.999861	1
0.16752	70	140	139.981	140	0.903487	0.000138889	7.69891e-08	0.999861	1
0.16754	14	140	139.887	140	3.30615	0.00111111	8.81852e-11	1	1
0.16756	14	140	139.94	140	1.94429	0.00125	5.66196e-10	1	1
0.16758	14	140	139.907	140	2.92217	0.00111111	5.63e-08	0.999861	1
0.1676	14	140	139.924	140	2.61286	0.000972222	1.63953e-10	1	1
0.16762	14	140	139.924	140	2.64393	0.000972222	2.11222e-10	1	1
0.16764	14	140	139.924	140	2.64393	0.00111111	1.09861e-07	0.999861	1
0.16766	70	140	139.967	140	1.24522	0.000416667	3.95037e-11	1	1
0.16768	14	140	139.885	140	3.31841	0.00138889	5.30577e-11	0.999722	1
0.1677	14	140	139.895	140	2.97715	0.00125	2.35818e-08	0.999861	1
0.16772	14	140	139.959	140	1.91659	0.000694444	7.59252e-11	1	1
0.16774	14	140	139.947	140	2.27962	0.000416667	8.58408e-08	0.999861	1
0.16776	70	140	139.979	140	1.00338	0.000416667	9.67742e-11	1	1
0.16778	42	140	139.94	140	2.19424	0.000833333	2.3152e-12	0.999722	1
0.1678	14	140	139.957	140	1.90944	0.000416667	1.26172e-10	0.999861	1
0.16782	14	140	139.949	140	2.22528	0.000694444	1.04112e-07	1	1
0.16784	14	140	139.975	140	1.52094	0.000138889	7.70757e-08	1	1
0.16786	14	140	139.92	140	2.52802	0.00111111	2.92444e-08	0.999722	1
0.16788	42	140	139.971	140	1.4475	0.000277778	7.71359e-08	1	1
0.1679	14	140	139.953	140	2.26177	0.000416667	8.30062e-08	1	1
0.16792	14	140	139.963	140	1.67407	0.000555556	7.5153e-11	1	1
0.16794	42	140	139.955	140	1.85882	0.000416667	7.37194e-08	0.999861	1
0.16796	14	140	139.938	140	2.41282	0.000694444	3.79575e-11	1	1
0.16798	14	140	139.924	140	2.48469	0.00125	7.12105e-08	1	1
0.168	14	140	139.889	140	3.31033	0.00111111	1.06052e-07	0.999722	1
0.16802	14	140	139.934	140	2.58695	0.000833333	7.17971e-11	1	1
0.16804	70	140	139.959	140	1.5384	0.000694444	8.91278e-08	0.999861	1
0.16806	70	140	139.979	140	1.00338	0.000416667	9.89838e-08	1	1
0.16808	126	140	139.998	140	0.16498	0.000138889	3.64608e-11	1	1
0.1681	14	140	139.911	140	3.05883	0.000833333	3.28462e-08	1	1
0.16812	70	140	139.986	140	0.857213	0.000277778	8.0564e-08	1	1
0.16814	14	140	139.946	140	2.2736	0.000694444	5.92636e-08	1	1
0.16816	14	140	139.86	140	3.77423	0.00152778	1.49622e-10	1	1
0.16818	70	140	139.965	140	1.31947	0.000555556	8.94359e-08	0.999861	1
0.1682	14	140	139.955	140	1.97251	0.000555556	9.89735e-08	1	1
0.16822	14	140	139.922	140	2.75974	0.000972222	7.75257e-11	1	1
0.16824	14	140	139.969	140	1.71436	0.000416667	7.69302e-08	1	1
0.16826	14	140	139.942	140	2.3209	0.000694444	4.17675e-11	1	1
0.16828	98	140	139.975	140	0.918286	0.000555556	9.86444e-08	1	1
0.1683	14	140	139.909	140	2.88944	0.00111111	6.40868e-11	1	1
0.16832	14	140	139.924	140	2.27897	0.000972222	1.45231e-10	0.999861	1
0.16834	98	140	139.984	140	0.617146	0.000138889	7.71176e-08	0.999722	1
0.16836	70	140	139.963	140	1.38975	0.000555556	6.92495e-11	0.999861	1
0.16838	14	140	139.912	140	2.84207	0.00111111	1.28247e-10	1	1
0.1684	14	140	139.949	140	2.08638	0.000694444	5.79096e-10	0.999722	1
0.16842	14	140	139.94	140	2.42973	0.000694444	8.71451e-08	0.999722	1
0.16844	70	140	139.977	140	1.09418	0.000555556	4.93531e-08	1	1
0.16846	98	140	139.984	140	0.617146	0.000277778	7.71385e-08	1	1
0.16848	14	140	139.949	140	1.97925	0.000555556	5.54141e-11	1	1
0.1685	14	140	139.877	140	3.42312	0.00194444	2.60333e-10	0.999861	1
0.16852	70	140	139.965	140	1.31947	0.000416667	1.08512e-07	0.999861	1
0.16854	14	140	139.947	140	2.4074	0.000555556	8.90024e-11	1	1
0.16856	42	140	139.942	140	1.99275	0.000833333	3.86803e-10	0.999861	1
0.16858	70	140	139.977	140	1.09418	0.000416667	3.07767e-10	1	1
0.1686	14	140	139.928	140	2.51746	0.000972222	2.23576e-10	1	1
0.16862	14	140	139.955	140	1.91651	0.000555556	9.87877e-08	0.999722	1
0.16864	42	140	139.955	140	1.79929	0.000694444	2.98908e-08	1	1
0.16866	14	140	139.936	140	2.38439	0.000555556	6.98247e-11	1	1
0.16868	14	140	139.938	140	2.59754	0.000416667	2.54217e-11	0.999861	1
0.1687	42	140	139.949	140	1.92345	0.000555556	4.32625e-08	1	1
0.16872	42	140	139.893	140	3.07159	0.00111111	8.62019e-08	0.999861	1
