p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0.00216	6	6	6	6	0	0.902639	1	0.970417	1
0.00218	6	6	6	6	0	0.901806	1	0.9675	1
0.0022	6	6	6	6	0	0.9025	1	0.968194	1
0.00222	6	6	6	6	0	0.902222	1	0.96875	1
0.00224	6	6	6	6	0	0.898611	1	0.968056	1
0.00226	6	6	6	6	0	0.903333	1	0.967222	1
0.00228	6	6	6	6	0	0.895833	1	0.966528	1
0.0023	6	6	6	6	0	0.895833	1	0.967361	1
0.00232	6	6	6	6	0	0.896944	1	0.966667	1
0.00234	6	6	6	6	0	0.895139	1	0.967917	1
0.00236	6	6	6	6	0	0.898472	1	0.965417	1
0.00238	6	6	6	6	0	0.8925	1	0.964167	1
0.0024	6	6	6	6	0	0.891389	1	0.96125	1
0.00242	6	6	6	6	0	0.89125	1	0.964722	1
0.00244	6	6	6	6	0	0.894861	1	0.963889	1
0.00246	6	6	6	6	0	0.892778	1	0.966528	1
0.00248	6	6	6	6	0	0.888056	1	0.965694	0.999999
0.0025	6	6	6	6	0	0.884444	1	0.963472	1
0.00252	6	6	6	6	0	0.884583	1	0.964028	1
0.00254	6	6	6	6	0	0.882361	1	0.961944	1
0.00256	6	6	6	6	0	0.885694	1	0.962083	1
0.00258	6	6	6	6	0	0.884167	1	0.959861	1
0.0026	6	6	6	6	0	0.881806	1	0.963472	1
0.00262	6	6	6	6	0	0.88375	1	0.959583	1
0.00264	6	6	6	6	0	0.878472	1	0.964028	1
0.00266	6	6	6	6	0	0.880833	1	0.961667	1
0.00268	6	6	6	6	0	0.881806	1	0.962361	1
0.0027	6	6	6	6	0	0.871528	1	0.959583	1
0.00272	6	6	6	6	0	0.872361	1	0.960556	1
0.00274	6	6	6	6	0	0.87875	1	0.964722	1
0.00276	6	6	6	6	0	0.874306	1	0.961111	1
0.00278	6	6	6	6	0	0.874028	1	0.958194	1
0.0028	6	6	6	6	0	0.879444	1	0.964306	1
0.00282	6	6	6	6	0	0.877083	1	0.966944	1
0.00284	6	6	6	6	0	0.871667	1	0.958889	1
0.00286	6	6	6	6	0	0.871111	1	0.959167	0.999999
0.00288	6	6	6	6	0	0.861806	1	0.954583	1
0.0029	6	6	6	6	0	0.866528	1	0.958889	1
0.00292	6	6	6	6	0	0.860417	1	0.958889	1
0.00294	6	6	6	6	0	0.870139	1	0.955833	1
0.00296	6	6	6	6	0	0.873333	1	0.957778	0.999997
0.00298	6	6	6	6	0	0.862917	1	0.954861	1
0.003	6	6	6	6	0	0.866528	1	0.957361	1
0.00302	6	6	6	6	0	0.868611	1	0.96	1
0.00304	6	6	6	6	0	0.866389	1	0.956806	1
0.00306	6	6	6	6	0	0.860833	1	0.953194	1
